Term,IDF
kasus,"7,06610809"
kata,"5,274348621"
kau,"5,887453094"
kaum,"7,06610809"
kawasan,"6,149817358"
kaya,"5,156565585"
kayak,"6,506492302"
kayu,"6,842964539"
kebun,"7,353790163"
kecil,"5,813345122"
kejang,"7,353790163"
kejar,"7,06610809"
kelak,"6,660642982"
kelenteng,"7,353790163"
kelola,"7,06610809"
kelompok,"7,06610809"
keluar,"6,506492302"
keluarga,"6,842964539"
kemarin,"7,353790163"
kembali,"7,06610809"
kembang,"5,74435225"
kemudian,"6,660642982"
ken,"6,149817358"
kena,"6,660642982"
kenang,"7,353790163"
kendala,"6,842964539"
kendara,"6,842964539"
kepala,"7,06610809"
keras,"6,660642982"
keren,"5,507963472"
kereta,"6,054507178"
kerja,"3,455190177"
kes,"7,06610809"
kesana,"6,506492302"
kesitu,"7,353790163"
ketar,"7,353790163"
ketua,"7,353790163"
khawatir,"6,660642982"
khusus,"6,506492302"
kiblat,"7,353790163"
kira,"6,054507178"
kiri,"7,353790163"
kmd,"7,759255271"
kn,"7,353790163"
ko,"7,06610809"
koar,"7,353790163"
kocak,"7,353790163"
kok,"4,60225485"
kolom,"7,353790163"
kolonial,"7,353790163"
komentar,"5,887453094"
kompleks,"7,353790163"
komplot,"7,353790163"
komunis,"7,353790163"
konoha,"7,06610809"
konsep,"7,06610809"
konsorsium,"7,353790163"
konstruksi,"7,353790163"
kontraktor,"6,660642982"
kontrol,"7,353790163"
kontruksi,"6,842964539"
konyol,"7,353790163"
kopi,"7,353790163"
korban,"6,054507178"
korsel,"7,759255271"
korupsi,"4,763522997"
koruptor,"6,660642982"
kos,"7,353790163"
kota,"3,837281934"
kotor,"7,06610809"
kpk,"7,353790163"
krisis,"7,06610809"
kritik,"6,842964539"
ku,"5,679813729"
kualitas,"7,353790163"
kuasa,"5,967495801"
kuat,"6,255177874"
kubur,"7,353790163"
kuching,"7,759255271"
kuil,"7,353790163"
kuli,"6,149817358"
kumpul,"7,353790163"
kumuh,"6,506492302"
kurang,"5,813345122"
kuras,"7,353790163"
kursi,"7,353790163"
kuta,"7,353790163"
ladang,"6,842964539"
lah,"4,986666548"
lahan,"5,813345122"
lahir,"7,353790163"
lain,"6,149817358"
lajur,"7,06610809"
laksana,"5,887453094"
laku,"6,149817358"
lalau,"7,353790163"
lalu,"6,37296091"
lama,"5,562030693"
lamar,"7,353790163"
lambat,"6,255177874"
lancar,"3,600372187"
landas,"7,353790163"
langkah,"7,06610809"
langsung,"6,37296091"
lanjut,"4,358057889"
lanjutin,"7,353790163"
lapang,"6,37296091"
larang,"6,842964539"
lari,"7,06610809"
laun,"7,353790163"
laut,"6,37296091"
lawak,"7,06610809"
lawan,"7,06610809"
layak,"6,506492302"
lebar,"6,660642982"
lebaran,"7,353790163"
lebat,"7,353790163"
lebi,"7,06610809"
lebih,"4,218295947"
legacy,"7,353790163"
lengkap,"6,660642982"
lengkung,"7,759255271"
lengser,"7,06610809"
letak,"7,06610809"
level,"7,353790163"
lewat,"5,967495801"
lh,"7,759255271"
lha,"7,353790163"
lho,"6,660642982"
liar,"7,353790163"
liat,"6,660642982"
libat,"6,255177874"
lihat,"4,409351183"
like,"7,353790163"
lindung,"6,054507178"
lingkung,"6,255177874"
lipat,"7,06610809"
listrik,"6,054507178"
literasi,"7,353790163"
lkn,"6,842964539"
lndonesia,"7,353790163"
logika,"7,06610809"
lokal,"6,255177874"
lokasi,"6,660642982"
loker,"6,37296091"
lol,"6,842964539"
lomba,"7,353790163"
lowong,"7,353790163"
luar,"5,05120507"
luarbiasa,"7,353790163"
luas,"6,054507178"
luhut,"7,06610809"
lumayan,"6,660642982"
lupa,"5,813345122"
maaf,"7,06610809"
macet,"5,967495801"
mafia,"7,06610809"
mah,"6,054507178"
maha,"6,842964539"
mahal,"6,255177874"
mahasiswa,"7,353790163"
main,"6,506492302"
maju,"3,88805426"
makan,"5,887453094"
makanya,"5,967495801"
makin,"4,691202336"
makmur,"6,054507178"
maksa,"6,506492302"
maksimal,"7,353790163"
malah,"5,316908235"
malas,"7,06610809"
