feature_name,idf_weights
makmur,5.907740870933623
maksa,6.44673737166631
maksimal,7.294035232053513
maksud,7.294035232053513
malah,5.096810654717294
malam,7.294035232053513
malas,6.600888051493568
malaysia,5.827698163260086
maling,7.699500340161678
mall,7.699500340161678
malu,6.600888051493568
mampu,5.907740870933623
mana,5.134550982700141
mandalika,7.294035232053513
mandek,7.0063531596017325
manfaat,5.827698163260086
mangkrak,4.233764437361952
manis,7.0063531596017325
mantan,7.294035232053513
mantap,4.679075454017315
manusia,5.7535901911063645
marah,7.0063531596017325
mardigu,7.699500340161678
mari,7.294035232053513
mas,6.313205979041787
masa,5.3481250829982
masak,6.600888051493568
masalah,5.559434176665407
masing,7.699500340161678
masingmasing,7.294035232053513
masjid,5.907740870933623
masuk,5.301605067363307
masya,7.294035232053513
masyaallah,7.0063531596017325
masyarakat,5.096810654717294
mata,6.44673737166631
mati,5.448208541555183
mau,4.233764437361952
maupun,7.0063531596017325
mayoritas,6.195422943385404
media,7.294035232053513
mega,5.994752247923253
megah,6.600888051493568
megaproyek,7.699500340161678
meikarta,5.214593690373678
memang,4.729085874591977
menang,6.313205979041787
mencret,7.699500340161678
mending,5.907740870933623
mental,7.294035232053513
menteri,5.827698163260086
merah,7.294035232053513
merdeka,6.090062427727577
mesjid,5.994752247923253
meski,6.783209608287523
mikir,6.600888051493568
milik,5.559434176665407
militer,7.0063531596017325
milu,7.0063531596017325
milyar,7.294035232053513
mimpi,5.827698163260086
minat,7.294035232053513
minim,6.783209608287523
minimal,6.783209608287523
minta,6.783209608287523
miring,7.699500340161678
mirip,6.090062427727577
miris,7.0063531596017325
misal,7.0063531596017325
misi,7.294035232053513
miskin,5.907740870933623
mixue,7.294035232053513
mobil,6.44673737166631
modal,6.783209608287523
model,7.0063531596017325
modern,6.44673737166631
modular,7.0063531596017325
moga,2.6690624187692427
mohon,6.44673737166631
mol,7.699500340161678
monas,6.44673737166631
monumen,7.294035232053513
mu,6.783209608287523
muda,7.294035232053513
mudah,4.367295829986475
mula,6.783209608287523
mulai,5.301605067363307
multi,7.699500340161678
mulu,7.294035232053513
munafik,7.0063531596017325
muncul,7.294035232053513
mundur,6.783209608287523
mungkin,4.991450139059468
murah,7.0063531596017325
muslim,7.294035232053513
